,UPC,ID,Manufacturer,Brand,Product Description,Vegan,Vegetarian,Nut Free,Lactose Free,Company ID,Product ID
2,43000029220,243996,"Kraft Foods, Inc.",Maxwell House,Maxwell House Ground Coffee The Original Roast Medium,,,,,43000,02922
3,19600050308,402216,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Original 4 Cheese,,,,,19600,05030
4,41331037822,397371,"Goya Foods, Inc.",Goya,Goya Sason Coriander & Annatto Seasoning,,,,,41331,03782
5,14100078678,620865,Pepperidge Farm Tim Tam,Pepperidge Farm® Goldfish®,"Pepperidge Farm® Goldfish® Cheddar Crackers, 2 oz. Carton",,,Y,,14100,07867
6,87684001066,399630,Kraft Heinz Foods Company,Capri Sun,Capri Sun Juice Drink Lemonade - 10 CT,,,,,87684,00106
8,73731008300,420442,Gruma Corporation,Mission,Mission Flour Tortillas Fajita Super Soft - 20 CT,,,,,73731,00830
9,63435891117,420686,Irving Consumer Products,Scotties,Scotties 2 ply Sheets - 70 CT,,,,,63435,89111
10,14100070610,544647,"Pepperidge Farm, Inc.",PEPPERIDGE FARM,Pepperidge Farm Bread Swirl Cinnamon,,,,,14100,07061
11,41331090605,419990,"Goya Foods, Inc.",Goya,Goya Discos Para Empanadas,,,,,41331,09060
12,43000955635,508133,"Kraft Foods, Inc.",Kool-Aid,Kool-Aid Unsweetened Drink Mix Grape,,,,,43000,95563
13,41196010329,627911,"General Mills, Inc.",Progresso,Progresso Traditional Soup Chickarina,,,,,41196,01032
15,50000577958,274422,Nestle Purina PetCare Company,Purina,"Purina Friskies Tasty Treasures Cat Food With Chicken, Tuna & Cheese In Gravy",,,,,50000,57795
16,76183003572,563735,Snapple Beverage Corp.,Diet Snapple,Diet Snapple Peach Tea - 12 PK,,,,,76183,00357
17,44000033385,607468,Nabisco Biscuit Company,Chips Ahoy!,Nabisco Chips Ahoy! Original Cookies,,,,,44000,03338
18,71730007157,365904,New World Pasta Company,No Yolks,No Yolks Enriched Egg White Pasta Extra Broad,,,,,71730,00715
19,13900500013,472484,The William G. Bell Co.,Bell's,Bell's Seasoning,,,,,13900,50001
20,83900006495,420173,The Coca-Cola Company,Gold Peak,Gold Peak Sweet Iced Tea,,,,,83900,00649
21,14100085485,620900,Pepperidge Farm Tim Tam,Pepperidge Farm® Goldfish® Flavor Blasted®,"Pepperidge Farm® Goldfish® Flavor Blasted® Xtra Cheddar Crackers, 6.6 oz. Bag",,,Y,,14100,08548
22,21273100129,510801,Gunter's Honey,Gunter's,Gunter's Pure Honey Clover,,,,,21273,10012
23,73420000158,563816,Daisy Brand,Daisy,Daisy Light Sour Cream,,,,,73420,00015
25,43000200018,392197,"Kraft Foods, Inc.",JELL-O,Jell-O Gelatin Dessert Strawberry,,,,,43000,20001
27,25000046285,602944,Simply Orange Juice Company,Simply Orange,Simply Cranberry Cocktail,,,,,25000,04628
28,49000024692,563863,The Coca-Cola Company,Diet Coke,Diet Coke - 6 CT,,,,,49000,02469
29,76183163740,508798,Snapple Beverage Corp.,Snapple,Snapple Juice Drink Lemon Tea,,,,,76183,16374
30,79606010157,481743,Camino Real Kitchens,Tina's,Tina's Burrito Red Hot Beef,,,,,79606,01015
31,79606106454,481736,Camino Real Kitchens,Tina's,Tina's Burrito Spicy Bean & Cheese,,,,,79606,10645
32,50000570171,380222,Nestle Purina PetCare Company,Fancy Feast,Fancy Feast Medleys Gourmet Cat Food White Meat Chicken Florentine in Sauce,,,,,50000,57017
33,71673020503,641597,"Stroehmann Bakeries, Inc.",Stroehmann,Stroehmann Bread 100% Whole Wheat,,,,,71673,02050
34,36632038128,484728,"The Dannon Company, Inc.",Dannon,Dannon Light & Fit Greek Nonfat Yogurt Tiramisu,,,,,36632,03812
35,43000054017,510450,Kraft Heinz Foods Company,Baker's,Baker's 100% Cacao Baking Bar Unsweetened Chocolate,,,,,43000,05401
36,21000301928,564217,"Horizon Organic Dairy, LLC",Horizon,Horizon Organic Shredded Cheese Mexican Style,,,,,21000,30192
37,38000768620,609766,Kellogg Sales Co.,Kellogg's,"Kellogg's Cocoa Krispies Chocolatey, Sweetened Rice Cereal",,,,,38000,76862
38,71091000071,588912,"DS Waters of America, Inc.",Nursery,Nursery Purified Water,,,,,71091,00007
39,51500241776,381376,The J.M. Smucker Company,Jif,Jif Creamy Peanut Butter,,,,,51500,24177
40,25000054259,422429,Simply Orange Juice Company,Simply Limeade,Simply Limeade All Natural,,,,,25000,05425
41,75185000039,593211,"Martin's Famous Pastry Shoppe, Inc.",Martin's,Martin's Potato Sandwich Rolls - 8 CT,,,,,75185,00003
42,38000260667,549130,Kellogg Company,Eggo,Kellogg's Eggo Minis Pancakes - 40 CT,,,,,38000,26066
43,41789001215,288439,"Maruchan, Inc.",Maruchan,Maruchan Instant Lunch Ramen Noodle Soup Chicken,,,,,41789,00121
