,UPC,Number Of Servings,Serving Size,Energy,Total Fat,Saturated Fat,Protein,Sugars,Carbohydrates,Sodium,Calories From Fat,Company ID,Product ID
2,19600050308,1,1.0 pizza,370.0,15.0 g,8.0 g,15 g,3 g,41 g,790.0 mg,140.0,19600,05030
3,41331037822,40,0.25 tsp,0.0,0.0 g,0.0 g,0 g,0 g,0 g,170.0 mg,0.0,41331,03782
4,14100078678,About 2,,140.0,5.0 g,1.0 g,3 g,0 g,20 g,250.0 mg,45.0,14100,07867
5,87684001066,10,1.0 pouch,50.0,0.0 g,,0 g,13 g,14 g,25.0 mg,,87684,00106
7,73731008300,20,1.0 tortilla,90.0,2.0 g,0.5 g,3 g,1 g,17 g,260.0 mg,15.0,73731,00830
8,14100070610,16,1.0 Slice,80.0,1.5 g,0.0 g,3 g,4 g,15 g,135.0 mg,15.0,14100,07061
9,41331090605,10,1.0 disk,130.0,3.5 g,1.5 g,3 g,1 g,23 g,110.0 mg,30.0,41331,09060
10,43000955635,8,0.125 package,0.0,0.0 g,,0 g,,0 g,10.0 mg,,43000,95563
11,41196010329,2,237.0 g,110.0,4.0 g,1.5 g,8 g,1 g,12 g,670.0 mg,35.0,41196,01032
13,76183003572,12,1.0 bottle,10.0,0.0 g,,0 g,,1 g,15.0 mg,,76183,00357
14,44000033385,15,33.0 g,160.0,8.0 g,2.5 g,1 g,11 g,22 g,110.0 mg,70.0,44000,03338
15,71730007157,6,0.5 cups,200.0,1.0 g,0.0 g,8 g,2 g,40 g,20.0 mg,10.0,71730,00715
16,13900500013,About 56,0.25 tsp,0.0,0.0 g,0.0 g,0 g,0 g,0 g,0.0 g,0.0,13900,50001
17,83900006495,7,355.0 ml,120.0,0.0 g,,0 g,31 g,31 g,35.0 mg,,83900,00649
18,14100085485,6,,140.0,5.0 g,1.0 g,4 g,1 g,19 g,270.0 mg,45.0,14100,08548
19,21273100129,16,1.0 Tbsp,60.0,0.0 g,nan kg,0 g,16 g,17 g,0.0 mg,0.0,21273,10012
20,73420000158,15,2.0 tablespoons,40.0,2.5 g,2.0 g,2 g,2 g,2 g,25.0 mg,25.0,73420,00015
22,43000200018,4,0.25 package,80.0,0.0 g,0.0 g,2 g,19 g,19 g,90.0 mg,,43000,20001
24,25000046285,7,8.0 fl oz,130.0,0.0 g,,0 g,34 g,34 g,20.0 mg,,25000,04628
25,49000024692,1,1.0 bottle,0.0,0.0 g,,0 g,,0 g,60.0 mg,,49000,02469
26,76183163740,-,1.0 bottle,150.0,0.0 g,,0 g,36 g,37 g,10.0 mg,,76183,16374
27,79606010157,1,1.0 Burrito,340.0,16.0 g,5.0 g,9 g,1 g,39 g,570.0 mg,140.0,79606,01015
28,79606106454,1,1.0 Burrito,260.0,7.0 g,1.5 g,9 g,0 g,39 g,500.0 mg,60.0,79606,10645
